,Sport,Date,Competition,Description
0,AmericanFootball,21-Dec 18:00,US NFL,Tampa Bay Buccaneers @ Carolina Panthers
1,AmericanFootball,21-Dec 18:00,US NFL,Minnesota Vikings @ New York Giants
2,AmericanFootball,21-Dec 18:00,US NFL,Cincinnati Bengals @ Miami Dolphins
3,AmericanFootball,21-Dec 18:00,US NFL,Los Angeles Chargers @ Dallas Cowboys
4,AmericanFootball,21-Dec 18:00,US NFL,New York Jets @ New Orleans Saints
5,AmericanFootball,21-Dec 18:00,US NFL,Buffalo Bills @ Cleveland Browns
6,AmericanFootball,21-Dec 18:00,US NFL,Kansas City Chiefs @ Tennessee Titans
7,AmericanFootball,21-Dec 21:05,US NFL,Jacksonville Jaguars @ Denver Broncos
8,AmericanFootball,21-Dec 21:05,US NFL,Atlanta Falcons @ Arizona Cardinals
9,AmericanFootball,21-Dec 21:25,US NFL,Las Vegas Raiders @ Houston Texans
10,AmericanFootball,21-Dec 21:25,US NFL,Pittsburgh Steelers @ Detroit Lions
11,AmericanFootball,22-Dec 01:20,US NFL,New England Patriots @ Baltimore Ravens
12,AmericanFootball,22-Dec 19:00,NCAA Division I FBS,Washington State Cougars @ Utah State Aggies
13,AmericanFootball,23-Dec 01:15,US NFL,San Francisco 49ers @ Indianapolis Colts
14,AmericanFootball,23-Dec 19:00,NCAA Division I FBS,Toledo Rockets @ Louisville Cardinals
15,AmericanFootball,23-Dec 22:30,NCAA Division I FBS,Western Kentucky Hilltoppers @ Southern Miss Golden Eagles
16,AmericanFootball,24-Dec 02:00,NCAA Division I FBS,UNLV Rebels @ Ohio Bobcats
17,AmericanFootball,25-Dec 01:00,NCAA Division I FBS,California Golden Bears @ Hawaii Rainbow Warriors
18,AmericanFootball,25-Dec 18:00,US NFL,Dallas Cowboys @ Washington Commanders
19,AmericanFootball,25-Dec 21:30,US NFL,Detroit Lions @ Minnesota Vikings
20,AmericanFootball,26-Dec 01:15,US NFL,Denver Broncos @ Kansas City Chiefs
21,AmericanFootball,26-Dec 18:00,NCAA Division I FBS,Central Michigan Chippewas @ Northwestern Wildcats
22,AmericanFootball,26-Dec 21:30,NCAA Division I FBS,New Mexico Lobos @ Minnesota Golden Gophers
23,AmericanFootball,27-Dec 01:00,NCAA Division I FBS,Florida International Panthers @ UTSA Roadrunners
24,AmericanFootball,27-Dec 16:00,NCAA Division I FBS,Pittsburgh Panthers @ East Carolina Pirates
25,AmericanFootball,27-Dec 17:00,NCAA Division I FBS,Penn State Nittany Lions @ Clemson Tigers
26,AmericanFootball,27-Dec 19:15,NCAA Division I FBS,Connecticut Huskies @ Army Black Knights
27,AmericanFootball,27-Dec 20:30,NCAA Division I FBS,Georgia Tech Yellow Jackets @ BYU Cougars
28,AmericanFootball,27-Dec 21:30,US NFL,Houston Texans @ Los Angeles Chargers
29,AmericanFootball,27-Dec 21:30,NCAA Division I FBS,Miami Ohio Red Hawks @ Fresno State Bulldogs
30,AmericanFootball,27-Dec 22:45,NCAA Division I FBS,North Texas Mean Green @ San Diego State Aztecs
31,AmericanFootball,27-Dec 22:45,NCAA Division I FBS,North Texas Mean Green @ San Diego State Aztecs
32,AmericanFootball,28-Dec 00:30,NCAA Division I FBS,Virginia Cavaliers @ Missouri Tigers
33,AmericanFootball,28-Dec 01:00,US NFL,Baltimore Ravens @ Green Bay Packers
34,AmericanFootball,28-Dec 02:15,NCAA Division I FBS,LSU Tigers @ Houston Cougars
35,AmericanFootball,28-Dec 18:00,US NFL,Tampa Bay Buccaneers @ Miami Dolphins
36,AmericanFootball,28-Dec 18:00,US NFL,Pittsburgh Steelers @ Cleveland Browns
37,AmericanFootball,28-Dec 18:00,US NFL,New England Patriots @ New York Jets
38,AmericanFootball,28-Dec 18:00,US NFL,Jacksonville Jaguars @ Indianapolis Colts
39,AmericanFootball,28-Dec 18:00,US NFL,New Orleans Saints @ Tennessee Titans
40,AmericanFootball,28-Dec 18:00,US NFL,Arizona Cardinals @ Cincinnati Bengals
41,AmericanFootball,28-Dec 18:00,US NFL,Seattle Seahawks @ Carolina Panthers
42,AmericanFootball,28-Dec 21:05,US NFL,New York Giants @ Las Vegas Raiders
43,AmericanFootball,28-Dec 21:25,US NFL,Philadelphia Eagles @ Buffalo Bills
44,AmericanFootball,29-Dec 01:20,US NFL,Chicago Bears @ San Francisco 49ers
45,Baseball,21-Dec 20:00,Mexico LMP,Charros de Jalisco @ Tucson
46,Baseball,21-Dec 23:00,Mexico LMP,Charros de Jalisco @ Tucson
47,Baseball,22-Dec 00:00,Mexico LMP,Venados de Mazatlan @ Naranjeros De Hermosillo
48,Baseball,22-Dec 00:00,Mexico LMP,Aguilas de Mexicali @ Caneros De Los Mochis
49,Baseball,22-Dec 00:05,Mexico LMP,Algodoneros De Guasave @ Tomateros De Culiacan
50,Baseball,22-Dec 00:10,Mexico LMP,Jaguares de Nayarit @ Yaquis de Cd Obregon
51,Baseball,23-Dec 02:00,Mexico LMP,Tomateros De Culiacan @ Venados de Mazatlan
52,Baseball,23-Dec 02:30,Mexico LMP,Charros de Jalisco @ Jaguares de Nayarit
53,Baseball,23-Dec 02:30,Mexico LMP,Yaquis de Cd Obregon @ Algodoneros De Guasave
54,Baseball,23-Dec 02:30,Mexico LMP,Caneros De Los Mochis @ Naranjeros De Hermosillo
55,Baseball,23-Dec 03:30,Mexico LMP,Tucson @ Aguilas de Mexicali
56,Baseball,23-Dec 19:00,Mexico LMP,Caneros De Los Mochis @ Naranjeros De Hermosillo
57,Baseball,23-Dec 22:00,Mexico LMP,Caneros De Los Mochis @ Naranjeros De Hermosillo
58,Baseball,24-Dec 00:00,Mexico LMP,Caneros De Los Mochis @ Naranjeros De Hermosillo
59,Baseball,24-Dec 00:00,Mexico LMP,Tucson @ Aguilas de Mexicali
60,Baseball,24-Dec 01:00,Mexico LMP,Charros de Jalisco @ Jaguares de Nayarit
61,Baseball,24-Dec 01:00,Mexico LMP,Tomateros De Culiacan @ Venados de Mazatlan
62,Baseball,24-Dec 01:00,Mexico LMP,Yaquis de Cd Obregon @ Algodoneros De Guasave
63,Baseball,24-Dec 03:00,Mexico LMP,Caneros De Los Mochis @ Naranjeros De Hermosillo
64,Baseball,24-Dec 03:30,Mexico LMP,Charros de Jalisco @ Jaguares de Nayarit
65,Baseball,24-Dec 03:30,Mexico LMP,Tucson @ Aguilas de Mexicali
66,Baseball,24-Dec 03:30,Mexico LMP,Yaquis de Cd Obregon @ Algodoneros De Guasave
67,Baseball,24-Dec 03:30,Mexico LMP,Tomateros De Culiacan @ Venados de Mazatlan
68,Baseball,26-Dec 00:00,Mexico LMP,Algodoneros De Guasave @ Charros de Jalisco
69,Baseball,26-Dec 00:10,Mexico LMP,Venados de Mazatlan @ Yaquis de Cd Obregon
70,Baseball,26-Dec 01:00,Mexico LMP,Jaguares de Nayarit @ Caneros De Los Mochis
71,Baseball,26-Dec 01:05,Mexico LMP,Aguilas de Mexicali @ Tomateros De Culiacan
72,Baseball,26-Dec 08:00,Australia ABL,Sydney Blue Sox @ Brisbane Bandits
73,Baseball,26-Dec 08:30,Australia ABL,Perth Heat @ Adelaide Giants
74,Baseball,27-Dec 01:30,Mexico LMP,Algodoneros De Guasave @ Charros de Jalisco
75,Baseball,27-Dec 02:05,Mexico LMP,Naranjeros De Hermosillo @ Tucson
76,Baseball,27-Dec 02:05,Mexico LMP,Naranjeros De Hermosillo @ Tucson
77,Baseball,27-Dec 02:05,Mexico LMP,Aguilas de Mexicali @ Tomateros De Culiacan
78,Baseball,27-Dec 02:10,Mexico LMP,Venados de Mazatlan @ Yaquis de Cd Obregon
79,Baseball,27-Dec 02:30,Mexico LMP,Jaguares de Nayarit @ Caneros De Los Mochis
80,Baseball,27-Dec 04:30,Australia ABL,Sydney Blue Sox @ Brisbane Bandits
81,Baseball,27-Dec 08:00,Australia ABL,Sydney Blue Sox @ Brisbane Bandits
82,Baseball,27-Dec 08:30,Australia ABL,Perth Heat @ Adelaide Giants
83,Baseball,27-Dec 23:00,Mexico LMP,Naranjeros De Hermosillo @ Tucson
84,Baseball,28-Dec 00:00,Mexico LMP,Algodoneros De Guasave @ Charros de Jalisco
85,Baseball,28-Dec 01:00,Mexico LMP,Jaguares de Nayarit @ Caneros De Los Mochis
86,Baseball,28-Dec 01:05,Mexico LMP,Aguilas de Mexicali @ Tomateros De Culiacan
87,Baseball,28-Dec 01:10,Mexico LMP,Venados de Mazatlan @ Yaquis de Cd Obregon
88,Baseball,28-Dec 02:00,Mexico LMP,Naranjeros De Hermosillo @ Tucson
89,Baseball,28-Dec 08:30,Australia ABL,Perth Heat @ Adelaide Giants
90,Baseball,28-Dec 23:00,Mexico LMP,Tomateros De Culiacan @ Jaguares de Nayarit
91,Baseball,28-Dec 23:00,Mexico LMP,Charros de Jalisco @ Aguilas de Mexicali
92,Baseball,29-Dec 00:00,Mexico LMP,Yaquis de Cd Obregon @ Naranjeros De Hermosillo
