Sport,Date,Competition,Description
Basketball,11-Feb 00:00,NCAA,George Mason Patriots @ Richmond Spiders
Basketball,11-Feb 00:00,Argentina LNB,Argentino de Junin v Boca Juniors
Basketball,11-Feb 00:00,NCAA,Virginia Cavaliers @ Florida State Seminoles
Basketball,11-Feb 00:00,NCAA,Vanderbilt Commodores @ Auburn Tigers
Basketball,11-Feb 00:00,NCAA,Purdue Boilermakers @ Nebraska Cornhuskers
Basketball,11-Feb 00:00,NCAA,North Carolina Tar Heels @ Miami FL Hurricanes
Basketball,11-Feb 00:00,NCAA,Notre Dame Fighting Irish @ SMU Mustangs
Basketball,11-Feb 00:00,NCAA,Rhode Island Rams @ George Washington Revolutionaries
Basketball,11-Feb 00:00,NCAA,BYU Cougars @ Baylor Bears
Basketball,11-Feb 00:00,NCAA,Fordham Rams @ Saint Josephs Hawks
Basketball,11-Feb 00:05,Argentina LNB,Ferro Caba v Independiente de Oliva
Basketball,11-Feb 00:30,NCAA,Marquette Golden Eagles @ Villanova Wildcats
Basketball,11-Feb 00:42,US NBA,Indiana Pacers @ New York Knicks
Basketball,11-Feb 01:00,NCAA,Wisconsin Badgers @ Illinois Fighting Illini
Basketball,11-Feb 01:00,Argentina LNB,Ciclista Olimpico v Gimnasia y Esgrima (CR)
Basketball,11-Feb 01:05,US NBA,Los Angeles Clippers @ Houston Rockets
Basketball,11-Feb 01:30,NCAA,Eastern Illinois Panthers @ Western Illinois Leathernecks
Basketball,11-Feb 02:00,NCAA,Fresno State Bulldogs @ Utah State Aggies
Basketball,11-Feb 02:00,NCAA,Arkansas Razorbacks @ LSU Tigers
Basketball,11-Feb 02:00,NCAA,Duke Blue Devils @ Pittsburgh Panthers
Basketball,11-Feb 02:00,NCAA,Oklahoma State Cowboys @ Arizona State Sun Devils
Basketball,11-Feb 02:00,NCAA,Iowa State Cyclones @ TCU Horned Frogs
Basketball,11-Feb 02:00,NCAA,Colorado State Rams @ Air Force Falcons
Basketball,11-Feb 02:00,NCAA,Houston Cougars @ Utah Utes
Basketball,11-Feb 02:05,US NBA,Dallas Mavericks @ Phoenix Suns
Basketball,11-Feb 02:10,FIBA Basketball Champions League Americas,Astros de Jalisco v Paisas
Basketball,11-Feb 03:35,US NBA,San Antonio Spurs @ Los Angeles Lakers
Basketball,11-Feb 04:00,NCAA,San Jose State Spartans @ UNLV Rebels
Basketball,11-Feb 04:00,NCAA,Washington State Cougars @ Gonzaga Bulldogs
Basketball,11-Feb 10:00,Korea WKBL,Shinhan Bank S-Birds Women v Woori Bank Wibee Women
Basketball,11-Feb 10:00,South Korea KBL,SK Knights v Goyang Skygunners
Basketball,11-Feb 10:00,South Korea KBL,SK Knights v Goyang Skygunners
Basketball,11-Feb 10:10,East Asian Super League,Tochigi Brex v Fubon Braves
Basketball,11-Feb 11:00,Serbia KLS,BKK Radnicki v Vojvodina Srbijagas
Basketball,11-Feb 11:10,East Asian Super League,Xac Broncos v Alvark Tokyo
Basketball,11-Feb 11:30,Indonesia IBL,Rans Pik Basketball Club v Pacific Caesar Surabaya
Basketball,11-Feb 11:40,East Asian Super League,Meralco Bolts v Ryukyu Golden Kings
Basketball,11-Feb 12:00,Indonesia IBL,Kesatria Bengawan Solo v Dewa United Surabaya
Basketball,11-Feb 15:00,Greece A2 Ethniki,Ermis Schimatari v Megaridas
Basketball,11-Feb 15:00,Greece A2 Ethniki,Lavrio v Panerythraikos AS
Basketball,11-Feb 15:00,Turkey TKBL (W),Adana Nova Women v Istanbul GSK Women
Basketball,11-Feb 15:00,Serbia KLS,Radnicki Kragujevac v Tamis
Basketball,11-Feb 15:00,Turkey TKBL (W),Burhaniye Women v Urla Bld Women
Basketball,11-Feb 15:00,Turkey TKBL (W),Fenerbahce Gelisim Women v Samsun Zorlu Koleji Women
Basketball,11-Feb 15:00,Greece A2 Ethniki,Trikala v AO Amyntas
Basketball,11-Feb 15:00,EuropeCup (M),Petkim Spor Aliaga v Peristeri BC
Basketball,11-Feb 15:00,Serbia KLS,KK Dynamic v KK Cacak 94
Basketball,11-Feb 15:30,Greece A2 Ethniki,Peiramatiko Machites v Sofadon
Basketball,11-Feb 15:30,EuropeCup (M),PAOK Thessaloniki v Bilbao Basket
Basketball,11-Feb 16:00,EuroCup (M),Turk Telekom v BV Chemnitz 99
Basketball,11-Feb 16:00,EuroCup (M),U BT Cluj Napoca v Aris Thessaloniki BC
Basketball,11-Feb 16:00,Serbia KLS,KK Joker v Sloga
Basketball,11-Feb 16:00,Slovenia SKL Women,ZKK Celje Women v ZKK Maribor Women
Basketball,11-Feb 16:00,Serbia KLS,KK Mladost Zemun v KK Vrsac
Basketball,11-Feb 16:30,Greece A2 Ethniki,AS Papagou v Volos
Basketball,11-Feb 16:30,Finland Korisliiga,Salon Vilpas v Tapiolan Honka
Basketball,11-Feb 16:30,Finland Korisliiga,Namika Lahti v Joensuun Kataja
Basketball,11-Feb 16:30,Finland Korisliiga,Nilan Bisons v Kouvot
Basketball,11-Feb 17:00,Latvia - Estonian Basketball League,Liepajas Lauvas v Ogres BS
Basketball,11-Feb 17:00,Poland BLK (W),CTL Zaglebie Sosnowiec Women v Sleza Wroclaw Women
Basketball,11-Feb 17:00,Serbia KLS,Sloboda U v KK Borac Zemun
Basketball,11-Feb 17:00,North Macedonia Prva Liga,KK TFT Skopje v Feniks 2010
Basketball,11-Feb 17:00,Slovakia Extraliga,Kosice Wolves v Nitra Blue Wings
Basketball,11-Feb 17:00,North Macedonia Prva Liga,Tikvesh v KK Angeli
Basketball,11-Feb 17:00,Baltic Basketball League (W),MKK Panevezys Women v RSU Women
Basketball,11-Feb 17:00,Slovakia Extraliga,BK Iskra Svit v MBK Lucenec
Basketball,11-Feb 17:00,North Macedonia Prva Liga,Pelister v Kumanovo
Basketball,11-Feb 17:00,Serbia KLS,Sloboda U v KK Borac Zemun
Basketball,11-Feb 17:00,Poland BLK (W),CTL Zaglebie Sosnowiec Women v Sleza Wroclaw Women
Basketball,11-Feb 17:00,North Macedonia Prva Liga,KK Gostivar v Rabotnicki
Basketball,11-Feb 17:00,Serbia KLS,OKK Beograd v Hercegovac
Basketball,11-Feb 17:00,Slovakia Extraliga,MBK Handlova v MBK Rieker Komarno
Basketball,11-Feb 17:30,EuropeCup (M),Falco KC-Szombathely v Trefl Sopot
Basketball,11-Feb 17:30,EuropeCup (M),Rostock Seawolves v UCAM Murcia
Basketball,11-Feb 18:00,Norway BLNO,Kongsberg Miners v Asker Aliens
Basketball,11-Feb 18:00,Sweden Basketligan Women,IK Eos Women v Hogsbo Basket Women
Basketball,11-Feb 18:00,Slovakia Extraliga,BK Levicki Patrioti v BK 04 AC LB Spisska Nova Ves
Basketball,11-Feb 18:00,Sweden Basketligan Women,Norrkoping Dolphins Women v Brahe Women
Basketball,11-Feb 18:00,Sweden Basketligan Women,Uppsala Basket Women v AIK Women
Basketball,11-Feb 18:00,EuropeCup (M),KK Cedevita Junior v CSM Oradea
Basketball,11-Feb 18:00,EuroCup (M),BC Neptunas v Bahcesehir Koleji
Basketball,11-Feb 18:00,Sweden Basketligan Women,Alvik Basket v Sodertalje Women
Basketball,11-Feb 18:00,EuroCup (M),Buducnost VOLI v Bourg-en-Bresse
Basketball,11-Feb 18:00,FIBA Basketball Champions League,Baskets Wurzburg v Unicaja Malaga
Basketball,11-Feb 18:15,Spain Adecco Oro,Gipuzkoa Basket v Tizona Burgos
Basketball,11-Feb 18:30,EuropeCup (M),KK Bosna Sarajevo v Grissin Bon Reggio Emilia
Basketball,11-Feb 18:30,Germany Pro A,Baskets Koblenz v VfL SparkassenStars Bochum
Basketball,11-Feb 18:30,EuroCup (M),Hamburg Towers v Assignia Manresa
Basketball,11-Feb 19:00,FIBA Basketball Champions League,Pallacanestro Trieste v CB Gran Canaria
Basketball,11-Feb 19:00,Poland BLK (W),SKK Polonia Warszawa Women v AZS Poznan Women
Basketball,11-Feb 19:00,FIBA Basketball Champions League,Le Mans v Galatasaray
Basketball,11-Feb 19:00,EuroCup (M),Reyer Venezia Mestre v Hapoel Jerusalem
Basketball,11-Feb 19:00,Germany BBL,Skyliners Frankfurt v TBB Trier
Basketball,11-Feb 19:00,FIBA Basketball Champions League,Le Mans v Galatasaray
